Zip,Latitude,Longitude
1588,42.11998,-71.66956
2747,41.66783,-71.01627
3752,43.28921,-72.11523
4086,43.96149,-69.95876
4940,44.62494,-70.08322
6438,41.45705,-72.50352
6786,41.66924,-73.01504
8801,40.6239,-74.88658
10522,41.01226,-73.86479
12446,41.80597,-74.32554
13131,43.42122,-76.09224
13362,42.98218,-75.52199
14717,42.364,-78.18399
14720,42.10857,-79.28113
15312,40.25414,-80.43834
16686,40.66829,-78.25087
22640,38.8088,-78.12882
25118,38.1056,-81.30255
25271,38.78552,-81.68577
27027,36.44539,-79.98931
28079,35.11227,-80.60317
59747,45.71301,-111.94574
61065,42.40752,-88.82753
61349,41.55047,-89.44504
61572,40.80029,-90.03681
66612,39.04051,-95.68039
67219,37.77181,-97.31744
68073,41.25066,-96.40779
71461,31.11839,-93.29026
73855,36.91681,-99.86541
75114,32.61016,-96.44553
75214,32.82865,-96.74543
75253,32.67499,-96.61286
76566,31.51052,-97.99614
76679,31.92428,-96.58566
8510,40.19049,-74.4214
71021,32.96714,-93.44614
73933,36.74596,-102.57362
47106,38.4624,-85.90238
54610,44.3717,-91.83453
55445,45.12327,-93.37971
32423,30.94593,-85.05854
77335,30.58762,-94.92472
77831,30.72848,-95.90476
80840,38.99467,-104.85708
95037,37.16773,-121.59354
95121,37.30421,-121.80994
83255,43.69686,-113.57177
84623,39.45609,-111.58605
85302,33.56796,-112.17795
32738,28.90897,-81.18976
34698,28.03399,-82.77961
43116,39.77156,-83.06145
43358,40.41959,-83.53257
48623,43.51988,-84.13557
51014,42.78564,-95.71073
52356,41.47372,-91.84517
56172,44.00895,-95.7708
57445,45.46107,-98.11901
58541,47.36516,-102.06548
94123,37.80046,-122.43821
97633,42.03085,-121.56334
2828,41.87799,-71.55938
5778,43.87369,-73.21114
5824,44.4368,-71.86146
7306,40.73458,-74.07178
14020,42.99624,-78.21274
15461,39.84236,-79.90028
33071,26.24384,-80.2662
33306,26.16559,-80.11386
35203,33.51867,-86.80971
36032,31.9943,-86.56933
37331,35.31936,-84.53023
42103,36.94903,-86.33253
43066,40.3977,-83.16451
47918,40.30479,-87.20376
53076,43.2684,-88.20707
53572,42.96143,-89.73562
59418,46.79849,-109.91236
59463,47.03563,-110.83089
60910,41.07877,-87.80859
63106,38.64445,-90.20839
65560,37.59664,-91.49928
66414,38.82943,-95.68859
66528,38.59798,-95.53602
67552,37.86625,-99.22853
68460,40.89459,-97.43027
75565,32.93731,-94.0722
76449,32.91565,-98.32279
85924,34.57457,-109.66171
23076,37.47556,-76.31358
27587,35.98129,-78.55288
28573,34.9965,-77.19904
29851,33.51185,-81.81159
99156,48.1848,-117.19075
99927,56.251,-133.37572
12175,42.5515,-74.55282
13120,42.93959,-76.1742
14025,42.6222,-78.72705
15748,40.52449,-79.08432
16652,40.51478,-77.95686
20839,39.18354,-77.42255
20862,39.18361,-77.01946
24620,37.42993,-82.01884
27958,36.48334,-76.14524
28613,35.74082,-81.20915
28783,35.25277,-83.02057
30177,34.41134,-84.37791
59019,45.65095,-109.2457
59529,48.82648,-108.63418
59643,46.17096,-111.58999
61039,42.20887,-89.46757
63755,37.44246,-89.63964
67420,39.39875,-98.08543
67483,38.56148,-97.2057
67521,38.62312,-99.72282
72022,34.6043,-92.48832
76177,32.97522,-97.3112
76824,31.0036,-98.47069
78063,29.68785,-98.91422
78578,26.05308,-97.31838
78748,30.16538,-97.82343
81041,37.875,-102.38286
81507,39.00931,-108.62608
81623,39.25109,-107.20443
82423,44.97006,-108.58398
82604,42.85792,-106.76934
32348,29.96859,-83.59698
32641,29.64359,-82.22681
32683,29.29396,-82.78074
33634,28.00884,-82.54618
37370,35.36,-84.70294
37923,35.92608,-84.08022
40041,38.25603,-85.66412
41179,38.52673,-83.38774
41701,37.29829,-83.19128
43735,39.86326,-82.11874
44681,40.5021,-81.66119
44705,40.83384,-81.33223
45324,39.82283,-83.99406
45373,40.03218,-84.19478
45859,40.68372,-83.77862
47832,39.8779,-87.25424
50438,43.10935,-93.61746
50627,42.35055,-93.09573
51523,41.91325,-96.06795
55126,45.08477,-93.13255
55975,43.67542,-92.37189
1254,42.37982,-73.36545
4496,44.6584,-68.9119
7940,40.75981,-74.41794
29827,32.96459,-81.2533
62854,38.76801,-88.80664
63388,38.88769,-91.74286
64843,36.73389,-94.44391
65624,36.73109,-93.56742
66203,39.02155,-94.7055
68039,42.11408,-96.34461
71971,34.30388,-94.03726
85360,34.70927,-113.56826
12069,42.94514,-74.27897
13354,43.2631,-75.26965
14609,43.17753,-77.55277
17307,39.95083,-77.32222
20628,38.14941,-76.35096
21738,39.28093,-77.02587
91741,34.15372,-117.84368
93550,34.41326,-118.09162
98288,47.666,-121.27535
99111,46.85372,-117.42452
39320,32.56871,-88.75401
42081,37.23217,-88.40806
43460,41.60286,-83.563
43843,40.33665,-82.17392
46530,41.73988,-86.12742
47126,38.54865,-85.7757
49248,41.75645,-84.01123
50223,42.16892,-94.03007
50423,43.10928,-93.81267
50562,42.96153,-94.64178
50578,43.29968,-94.54591
52556,41.01982,-91.92902
56315,45.98475,-95.58899
57361,42.99698,-98.42921
57384,44.41466,-98.49125
1020,42.17637,-72.56538
1605,42.28947,-71.78751
1720,42.48416,-71.43805
1938,42.68366,-70.84325
2116,42.35062,-71.07564
15084,40.63007,-79.80281
17086,40.69061,-77.12442
19390,39.8329,-75.84009
23359,37.88316,-75.58988
29639,34.30798,-82.42482
29678,34.63301,-82.94107
30438,32.16402,-82.01895
63826,36.17481,-89.85056
63882,36.91476,-89.22185
68771,42.38321,-97.35756
72332,35.10196,-90.30882
73858,36.18299,-99.92277
75433,33.10767,-95.80424
78552,26.19515,-97.75025
79907,31.7075,-106.32683
80438,39.76029,-105.78335
80511,40.34002,-105.57227
82834,44.23696,-106.65641
93705,36.78671,-119.82832
95621,38.69576,-121.30829
95920,39.46072,-121.93702
32626,29.43104,-82.89024
33856,27.85647,-81.42832
39113,32.91036,-91.02088
45741,39.06483,-82.2523
47119,38.36648,-85.88372
49043,42.28577,-86.26737
50309,41.58487,-93.62063
55117,44.99936,-93.09687
56089,43.56103,-93.43083
57251,45.27889,-96.93516
57366,43.38348,-97.94396
35043,33.31369,-86.65872
35986,34.50328,-85.84036
41268,37.78867,-82.78498
41835,37.21209,-82.66952
46107,39.71654,-86.09147
46567,41.41348,-85.73106
53969,43.49387,-89.30435
54827,46.79683,-91.10857
54963,44.04307,-88.77445
57066,42.9904,-97.86923
98201,47.99339,-122.21327
93727,36.75155,-119.6806
93907,36.76958,-121.66778
2771,41.83786,-71.31735
4066,43.77278,-69.96827
5853,44.89474,-71.96653
8858,40.67934,-74.73706
10036,40.75927,-73.98999
12187,42.62196,-74.46226
14172,43.28315,-78.81813
16239,41.49187,-79.13575
18473,41.52436,-75.21087
19345,40.0294,-75.56539
21538,39.40132,-79.2211
25239,38.84049,-81.8431
25635,37.71765,-81.89407
28601,35.77253,-81.32634
30631,33.5678,-82.87594
60419,41.62773,-87.59942
60969,41.11102,-88.14976
64101,39.10362,-94.6006
67669,39.45329,-99.34648
76685,31.35326,-97.01115
77092,29.82968,-95.47383
10310,40.63236,-74.11616
11796,40.73135,-73.0997
13033,43.18619,-76.57006
22845,38.78759,-78.81508
22911,38.09276,-78.40756
29001,33.7835,-80.17252
2025,42.23604,-70.81903
2494,42.29966,-71.23201
62421,38.7536,-87.94355
66212,38.95637,-94.68147
67953,37.25701,-101.8943
70586,30.74143,-92.33756
71108,32.4426,-93.78848
73442,34.3265,-97.6718
75480,33.02472,-95.19411
77047,29.60844,-95.38665
75241,32.66571,-96.75904
78146,28.60318,-97.83849
83651,43.58806,-116.62003
11951,40.7634,-72.83056
13847,42.18592,-75.29064
14810,42.3487,-77.34272
16127,41.17286,-80.07283
17210,40.19639,-77.66123
17309,39.87129,-76.45019
19053,40.15467,-74.97955
31029,33.03734,-83.92709
31771,31.24271,-83.64654
37376,35.04786,-85.9559
40360,38.15446,-83.76739
40472,37.71681,-83.86023
41531,37.59301,-82.23266
41722,37.3718,-83.11757
46104,39.66102,-85.59541
48467,44.00834,-82.98494
49083,42.3775,-85.46056
49237,42.17573,-84.65157
49819,46.09393,-87.47656
56590,46.03682,-96.1618
56688,47.7674,-93.9131
58779,47.86324,-101.76722
59927,48.5721,-114.68407
60041,42.36833,-88.15541
61115,42.36373,-89.02886
61437,40.84615,-90.98681
64873,37.01766,-94.05146
66621,39.03333,-95.70154
68022,41.27845,-96.24594
68521,40.86613,-96.70947
70139,29.95023,-90.071
72941,35.36537,-94.15397
73446,34.08958,-96.77804
75163,32.16759,-96.11031
75182,32.80014,-96.55405
75934,30.89591,-94.75068
76008,32.69291,-97.62376
76050,32.27537,-97.16601
76201,33.22112,-97.14723
77099,29.67079,-95.58519
80232,39.68853,-105.09048
83660,43.79911,-116.93136
84319,41.61013,-111.6665
84712,37.99958,-111.94426
85333,33.02343,-113.28105
86018,35.27148,-111.96429
89131,36.30619,-115.24268
751,18.01021,-66.24751
1906,42.46799,-71.01441
4488,44.87586,-69.11143
5354,42.76226,-72.52597
7040,40.73061,-74.26963
8048,39.95732,-74.80401
10075,40.77335,-73.95622
11433,40.69813,-73.78684
15864,41.10234,-79.19817
15944,40.36353,-79.07969
16035,41.10672,-80.00996
16421,42.17118,-79.9328
17552,40.10825,-76.51038
18346,41.13535,-75.40792
24938,37.91587,-80.3782
28617,36.48213,-81.38023
32177,29.69121,-81.71137
33905,26.6693,-81.76046
36742,32.46429,-87.738
38923,33.38102,-89.98723
42275,37.22055,-86.44738
43525,41.46657,-83.70444
47032,39.0808,-85.04983
47848,39.03865,-87.26313
59701,46.03422,-112.46687
70653,30.66353,-93.56221
72086,34.80894,-91.90941
74074,36.08105,-97.07624
81223,38.40535,-105.60648
2210,42.34781,-71.03905
15349,39.75811,-80.084
15647,40.34543,-79.7238
20770,39.00431,-76.87939
22731,38.3366,-78.25749
24857,37.67446,-81.66072
25405,39.40916,-77.96154
27325,35.46321,-79.57477
27536,36.32669,-78.40883
30646,34.07828,-83.31139
33149,25.72479,-80.16118
36301,31.14367,-85.40236
38453,35.12138,-86.81208
39746,33.74841,-88.41418
39836,31.6658,-84.87329
40075,38.56294,-85.11241
48174,42.20857,-83.35402
49955,47.00441,-88.70782
